date,close,capacity,transaction,change_value1,change_value2,change_value5,change_value10,target,target1,target2,target5,target10,short_term,mid_term,avg_2,trend_2,cap_avg_2,'trans_avg_2,avg_5,trend_5,cap_avg_5,'trans_avg_5,avg_10,trend_10,cap_avg_10,'trans_avg_10,avg_20,trend_20,cap_avg_20,'trans_avg_20,avg_60,trend_60,cap_avg_60,'trans_avg_60
2022-01-03,631.0,73703302.0,88508.0,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022-01-04,656.0,90945643.0,106409.0,0.039619651347068144,,,,1,1,0,0,0,,,1.9054878048780488,,9.479476108602586,8.41141256848575,,,,,,,,,,,,,,,,
2022-01-05,650.0,72505550.0,64712.0,-0.009146341463414634,0.030110935023771792,,,0,0,1,0,0,,,-0.46153846153846156,1.0,-12.716332060097468,-32.2173630856719,,,,,,,,,,,,,,,,
2022-01-06,644.0,57490736.0,53430.0,-0.009230769230769232,-0.018292682926829267,,,0,0,0,0,0,,,-0.4658385093167702,1.0,-13.058463888860286,-10.557739097885083,,,,,,,,,,,,,,,,
2022-01-07,634.0,39847766.0,44497.0,-0.015527950310559006,-0.024615384615384615,,,0,0,0,0,0,,,-0.7886435331230284,0.0,-22.13796627896279,-10.037755354293548,-1.4195583596214512,,-67.88544532207904,-60.71016023552149,,,,,,,,,,,,
2022-01-10,643.0,39286754.0,33453.0,0.014195583596214511,-0.0015527950310559005,0.01901743264659271,,1,1,0,1,0,0.008732318807768405,,0.6998444790046656,0.0,-0.7139963764886251,-16.506740800526114,-0.3732503888024848,1.0,-52.76214929846329,-80.85134367620242,,,,,,,,,,,,
2022-01-11,651.0,36186544.0,26849.0,0.012441679626749611,0.026813880126182965,-0.007621951219512195,,1,1,1,0,0,0.009595964453335385,,0.6144393241167435,1.0,-4.283650298298727,-12.29840962419457,1.0138248847926303,2.0,-35.58484612401781,-66.07024470185108,,,,,,,,,,,,
2022-01-12,660.0,40832298.0,39164.0,0.013824884792626729,0.026438569206842923,0.015384615384615385,,1,1,1,1,0,0.020911592295729156,,0.6818181818181818,2.0,5.688822608024657,15.722347053416403,2.060606060606064,2.0,-4.644660459717455,-0.803288734552136,,,,,,,,,,,,
2022-01-13,661.0,39172028.0,34355.0,0.0015151515151515152,0.015360983102918587,0.026397515527950312,,1,1,1,1,0,0.02087924931543445,,0.07564296520423601,2.0,-2.1192035296206773,-6.998981225440256,1.6944024205748933,3.0,0.27302645653168633,-3.809052539659434,,,,,,,,,,,,
2022-01-14,672.0,98768193.0,83211.0,0.01664145234493192,0.01818181818181818,0.05993690851735016,,1,1,1,1,0,0.03905936334958417,,0.818452380952381,2.0,30.169715163261113,29.356695629183644,2.172619047619051,4.0,48.51666122918742,47.83574287053394,3.2440476190476124,,40.39186137585812,30.948071769357416,,,,,,,,
2022-01-17,683.0,63828552.0,61981.0,0.01636904761904762,0.03328290468986384,0.06220839813374806,0.08240887480190175,1,1,1,1,1,0.04774565141180595,0.010100238334076844,0.8052708638360175,2.0,-27.36991511259726,-17.12621609848179,2.57686676427526,5.0,12.644856803268855,20.762814410867847,4.040995607613473,6.0,9.309541598249012,11.575966828544233,,,,,,,,
2022-01-18,662.0,48802321.0,65357.0,-0.03074670571010249,-0.01488095238095238,0.016897081413210446,0.009146341463414634,0,0,0,1,1,0.001008064516129033,-0.0038753699748979064,-1.5861027190332326,2.0,-15.394996274869795,2.5827378857658707,-0.8459214501510609,5.0,-19.4219397884785,13.071897424912407,0.906344410876133,7.0,-9.978527865508697,22.424682895481737,,,,,,,,
2022-01-19,654.0,44092247.0,50763.0,-0.012084592145015106,-0.0424597364568082,-0.00909090909090909,0.006153846153846154,0,0,0,0,1,-0.025775322773858647,0.007622377622377622,-0.6116207951070336,1.0,-5.341158957038411,-14.374642948604299,-1.8960244648318008,4.0,-33.657665938413174,-16.489175186651696,-0.3669724770642167,6.0,-15.282725101308623,2.870200736757087,,,,,,,,
2022-01-20,651.0,48996473.0,39346.0,-0.0045871559633027525,-0.01661631419939577,-0.015128593040847202,0.010869565217391304,0,0,0,0,1,-0.015872453620121487,0.012999079129119254,-0.2304147465437788,0.0,5.004672479180288,-14.508463376200883,-2.0583717357910873,3.0,-24.289675299689435,-52.827733441772985,-0.9370199692780372,6.0,-2.010031620031102,-21.73435673257764,,,,,,,,
2022-01-21,641.0,53966101.0,66088.0,-0.015360983102918587,-0.019877675840978593,-0.046130952380952384,0.011041009463722398,0,0,0,0,1,-0.03300431411096549,0.02858598092233739,-0.7800312012480499,0.0,4.604397860797837,20.232114756082797,-2.6833073322932988,2.0,3.7596975923830462,14.194710083524997,-2.6209048361934406,6.0,4.76771501428276,24.257505144655614,,,,,,,,
2022-01-24,653.0,48665203.0,36231.0,0.0187207488299532,0.0030721966205837174,-0.043923865300146414,0.015552099533437015,1,1,1,0,1,-0.02042583433978135,0.029737982416791715,0.9188361408882083,0.0,-5.446291881285279,-41.203665369435015,0.12251148545175414,1.0,-0.4916572525136698,-42.300792139328195,-0.888208269525261,6.0,-7.532677917731073,-38.92660980927934,,,,,,,,
2022-01-25,641.0,53927064.0,56698.0,-0.018376722817764167,0.0,-0.03172205438066465,-0.015360983102918587,0,0,0,0,0,-0.015861027190332326,0.008180535638873034,-0.93603744149766,1.0,4.878682993014417,18.049137535715545,-1.0920436817472698,1.0,7.413061463906136,12.121767963596605,-2.6209048361934406,6.0,-0.33004578183599986,5.958940350629649,,,,,,,,
2022-01-26,636.0,33093553.0,35647.0,-0.0078003120124804995,-0.026033690658499236,-0.027522935779816515,-0.03636363636363636,0,0,0,0,0,-0.026778313219157877,-0.004420350291909923,-0.39308176100628933,1.0,-31.47669124557282,-29.527028922489972,-1.3207547169811285,1.0,-44.22651686870853,-31.29295592897018,-3.0503144654088015,5.0,-61.152758363539874,-48.589502622941616,,,,,,,,
2022-02-07,635.0,64637049.0,43774.0,-0.0015723270440251573,-0.0093603744149766,-0.02457757296466974,-0.039334341906202726,0,0,0,0,0,-0.01696897368982317,-0.0073783844707664935,-0.07874015748031496,0.0,24.400476574974824,9.282907662082515,-0.9763779527559127,1.0,21.317889992162232,-8.940466943847943,-2.8031496062992054,4.0,13.551629499669762,-23.154383880842506,,,,,,,,
