date,close,capacity,transaction,change_value1,change_value2,change_value5,change_value10,target,target1,target2,target5,target10,short_term,mid_term,avg_2,trend_2,cap_avg_2,'trans_avg_2,avg_5,trend_5,cap_avg_5,'trans_avg_5,avg_10,trend_10,cap_avg_10,'trans_avg_10,avg_20,trend_20,cap_avg_20,'trans_avg_20,avg_60,trend_60,cap_avg_60,'trans_avg_60,std_2,BBand_up_2,BBand_down_2,std_5,BBand_up_5,BBand_down_5,std_10,BBand_up_10,BBand_down_10,std_20,BBand_up_20,BBand_down_20,std_60,BBand_up_60,BBand_down_60
2021-01-04,536.0,39489959.0,33316.0,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,542.0,34839391.0,28512.0,0.011194029850746268,,,,1,1,0,0,0,,,0.5535055350553505,,-6.674295770554657,-8.42452300785634,,,,,,,,,,,,,,,,,4.242640687119285,0.8554895270875801,-1.9625005971982812,,,,,,,,,,,,
2021-01-06,549.0,55614434.0,55462.0,0.012915129151291513,0.024253731343283583,,,1,1,1,0,0,,,0.6375227686703097,1.0,18.67774380298467,24.2959143197144,,,,,,,,,,,,,,,,,4.949747468305833,0.985345253725046,-2.2603907910656655,,,,,,,,,,,,
2021-01-07,565.0,53392763.0,47905.0,0.029143897996357013,0.042435424354243544,,,1,1,1,0,0,,,1.415929203539823,2.0,-2.0804982502965803,-7.887485648679679,,,,,,,,,,,,,,,,,11.313708498984761,2.188438105871244,-5.02029651295089,,,,,,,,,,,,
2021-01-08,580.0,62957148.0,56426.0,0.02654867256637168,0.056466302367941715,,,1,1,1,0,0,,,1.293103448275862,2.0,7.595948437816783,7.550597242405983,4.413793103448279,,21.758306141822054,21.44720518909723,,,,,,,,,,,,,10.606601717798213,1.9986005331097974,-4.584807429661521,17.952715672009067,1.1577393464855747,-9.985325553382134,,,,,,,,,
2021-01-11,584.0,52771778.0,49539.0,0.006896551724137931,0.033628318584070796,0.08955223880597014,,1,1,1,1,0,0.06159027869502047,,0.3424657534246575,2.0,-9.650394951634944,-6.95108904095763,3.4246575342465753,4.0,1.6233586065642946,3.97706857223601,,,,,,,,,,,,,2.8284271247461903,0.5293097302299933,-1.2142412370793083,18.47971861257633,2.271146147711884,-9.120461216205035,,,,,,,,,
2021-01-12,591.0,52605212.0,59595.0,0.011986301369863013,0.01896551724137931,0.09040590405904059,,1,1,1,1,0,0.05468571065020995,,0.5922165820642978,2.0,-0.15831701239033122,8.436949408507425,2.9103214890016997,5.0,-5.44253105566802,9.748468831277789,,,,,,,,,,,,,4.949747468305833,0.9153207179273269,-2.0997538820559223,16.813684902483466,2.2105977706379374,-8.031240748641338,,,,,,,,,
2021-01-13,605.0,75707681.0,59966.0,0.023688663282571912,0.03595890410958904,0.10200364298724955,,1,1,1,1,0,0.06898127354841929,,1.1570247933884297,2.0,15.257678411784928,0.3093419604442517,3.3057851239669422,5.0,21.425520351098857,8.804655971717311,,,,,,,,,,,,,9.899494936611665,1.7882794852728934,-4.102329072049753,14.679918255903223,1.0617938612604723,-7.673364109194357,,,,,,,,,
2021-01-14,592.0,90309708.0,111849.0,-0.021487603305785124,0.001692047377326565,0.047787610619469026,,0,0,1,1,0,0.024739828998397797,,-1.097972972972973,2.0,8.084417126008203,23.193323141020482,0.2702702702702741,5.0,25.954466157724703,39.67313073876387,,,,,,,,,,,,,9.192388155425117,3.8929558580684436,-1.6970099121224977,9.555103348473043,2.6349976397384203,-3.1755381802789686,,,,,,,,,
2021-01-15,601.0,100998199.0,105961.0,0.015202702702702704,-0.006611570247933884,0.03620689655172414,,1,1,0,1,0,0.014797663151895128,,0.7487520798668885,1.0,5.291426533259271,-2.7783807249837205,1.0648918469217932,4.0,26.257580494083864,26.9712441369938,4.409317803660566,,38.74284104808641,42.570285293645775,,,,,,,,,6.363961030678928,1.157259543298174,-2.654763703031951,8.38450952650188,1.4462757317310078,-3.5760594255745946,24.967756985538205,3.068546185352545,-11.887181792673676,,,,,,
